Indicator label,Indicator description,Unit,2012,2013,2014,2015,2016,Population ,Source
Quality of life ,Personal subjective wellbeing Index (average out of 100),%,75.6,76.7,76.8,76.9,76.5,Resident,Future Melbourne Social Survey
Quality of life (Male),Personal subjective wellbeing Index (average out of 100),%,75.6,76.7,77.4,76.6,75.9,Resident,Future Melbourne Social Survey
Quality of life (Female),Personal subjective wellbeing Index (average out of 100),%,75.5,76.6,76.3,77.1,76.9,Resident,Future Melbourne Social Survey
Quality of life (18-35 yrs),Personal subjective wellbeing Index (average out of 100),%,75.6,74.9,76.9,76.1,76.3,Resident,Future Melbourne Social Survey
Quality of life (36 yrs and over),Personal subjective wellbeing Index (average out of 100),%,75.5,78.3,76.8,77.6,76.6,Resident,Future Melbourne Social Survey
Standard of living,How satisfied people feel with their standard of living (average out of 100),%,80.6,81.2,81.3,81.4,81.7,Resident,Future Melbourne Social Survey
Health,How satisfied people feel with their health (average out of 100),%,77.9,78.9,78.4,77.2,78.6,Resident,Future Melbourne Social Survey
Currently achieving in life,How satisfied people feel with what people are currently achieving in life (average out of 100),%,73.5,74.8,74.3,74.6,75.1,Resident,Future Melbourne Social Survey
Personal relationships,How satisfied people feel with their personal relationships (average out of 100),%,77,79.8,80,78.9,79.5,Resident,Future Melbourne Social Survey
Personal relationships (Male),How satisfied people feel with their personal relationships (average out of 100),%,76.2,78.4,81.6,78.1,77.4,Resident,Future Melbourne Social Survey
Personal relationships (Female),How satisfied people feel with their personal relationships (average out of 100),%,77.8,81.2,78.5,79.9,81.3,Resident,Future Melbourne Social Survey
How safe you feel,How satisfied people feel with their safety (average out of 100),%,80.3,80.8,80.4,82,79.6,Resident,Future Melbourne Social Survey
How safe you feel (Male),How satisfied people feel with their safety (average out of 100),%,83.5,82.4,82.7,82.7,82.4,Resident,Future Melbourne Social Survey
How safe you feel (Female),How satisfied people feel with their safety (average out of 100),%,76.9,79.2,78.1,81.3,77.3,Resident,Future Melbourne Social Survey
Community connectedness,How satisfied people are with feeling part of the community (average out of 100),%,67.4,68.4,70.4,70.7,68.9,Resident,Future Melbourne Social Survey
Community connectedness (Male),How satisfied people are with feeling part of the community (average out of 100),%,66.9,69.1,69.5,70.6,67.6,Resident,Future Melbourne Social Survey
Community connectedness (Female),How satisfied people are with feeling part of the community (average out of 100),%,67.9,67.7,71.2,70.8,70,Resident,Future Melbourne Social Survey
Community connectedness (18-35 yrs),How satisfied people are with feeling part of the community (average out of 100),%,65.4,64.5,69.1,68.1,68,Resident,Future Melbourne Social Survey
Community connectedness (36 yrs and over),How satisfied people are with feeling part of the community (average out of 100),%,69.6,71.9,71.4,73,69.9,Resident,Future Melbourne Social Survey
Your future security,How satisfied people feel with their future security (average out of 100),%,72.4,72.8,73,73.3,71.8,Resident,Future Melbourne Social Survey
Self-reported health age standardised,People Self-Reporting Health as Excellent or Very Good,%,58.5,67.4,60.6,58.3,56.2,Resident,Future Melbourne Social Survey
Self-reported health (age standardised Male),People Self-Reporting Health as Excellent or Very Good,%,59.3,62.2,55.8,58.3,51.4,Resident,Future Melbourne Social Survey
Self-reported health (age standardised Female),People Self-Reporting Health as Excellent or Very Good,%,57.5,73.2,65.8,58.4,60.1,Resident,Future Melbourne Social Survey
Self-reported health (age standardised 18-35 yrs),People Self-Reporting Health as Excellent or Very Good,%,59.9,68.9,62.7,61.6,58,Resident,Future Melbourne Social Survey
Self-reported health (age standardised 36 yrs and over),People Self-Reporting Health as Excellent or Very Good,%,55.4,65.2,55.9,51.1,54.1,Resident,Future Melbourne Social Survey
Perceptions of safety - daytime,People Who Feel Safe or Very Safe in public spaces and places During the Day,%,,,96.3,97.1,90.3,City users,Council Plan Intercept Social Survey
Perceptions of safety - daytime (Male),People Who Feel Safe or Very Safe in public spaces and places During the Day,%,,,94.9,98.1,91.5,City users,Council Plan Intercept Social Survey
Perceptions of safety - daytime (Female),People Who Feel Safe or Very Safe in public spaces and places During the Day,%,,,97.8,96.2,89.4,City users,Council Plan Intercept Social Survey
Perceptions of safety - daytime (18-39 yrs),People Who Feel Safe or Very Safe in public spaces and places During the Day,%,,,97.4,98.1,90.7,City users,Council Plan Intercept Social Survey
Perceptions of safety - daytime (40 yrs and over),People Who Feel Safe or Very Safe in public spaces and places During the Day,%,,,95.4,96.5,89.7,City users,Council Plan Intercept Social Survey
Perceptions of safety - night time,People Who Feel Safe or Very Safe in public spaces and places alone at night,%,,,56.7,62.1,69.9,City users,Council Plan Intercept Social Survey
Perceptions of safety - night time (Male),People Who Feel Safe or Very Safe in public spaces and places alone at night,%,,,65.3,75.3,70.9,City users,Council Plan Intercept Social Survey
Perceptions of safety - night time (Female),People Who Feel Safe or Very Safe in public spaces and places alone at night,%,,,48.3,48.5,68.4,City users,Council Plan Intercept Social Survey
Perceptions of safety - night time (18-39 yrs),People Who Feel Safe or Very Safe in public spaces and places alone at night,%,,,55,63.7,65.1,City users,Council Plan Intercept Social Survey
